,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,total_beds,price_per_person
39,1277842,within a day,93.0,0.0,No,No,Queenstown,1.2927,103.7685,Private room,2,4.0,1.0,54.0,Yes,7,0,0,3.67,3.67,3.67,4.67,4.57,4.86,3.71,No,0.07,2.0,27.0
40,1277919,within a day,93.0,0.0,No,No,Queenstown,1.2927,103.7685,Shared room,2,4.0,1.0,50.0,Yes,11,0,0,4.3,4.1,3.9,4.8,4.9,4.7,4.4,No,0.16,2.0,25.0
41,1302185,within an hour,100.0,94.0,Yes,No,Geylang,1.31632,103.888,Entire home/apt,5,1.0,1.0,109.0,Yes,91,3,0,4.9,4.92,4.87,4.91,4.99,4.7,4.8,No,0.88,2.0,21.8
42,1363204,within an hour,100.0,97.0,No,Yes,Outram,1.28386,103.84238,Private room,1,1.0,1.0,69.0,Yes,3,0,0,4.0,4.33,3.0,4.67,4.67,5.0,4.33,No,0.03,1.0,69.0
43,1508829,within an hour,100.0,97.0,No,Yes,Kallang,1.3072,103.86359,Private room,1,3.0,1.0,59.0,Yes,9,1,0,4.14,4.29,4.43,4.83,4.57,4.83,4.17,No,0.1,1.0,59.0
44,1562453,,,,No,No,Novena,1.32359,103.8498,Private room,4,1.0,1.0,30.0,No,0,0,0,,,,,,,,No,,4.0,7.5
45,1581224,within a day,50.0,,No,Yes,Kallang,1.31108,103.87374,Entire home/apt,8,4.0,4.0,130.0,Yes,0,0,0,,,,,,,,Yes,,48.0,16.25
46,1611318,,,,No,No,Bukit Merah,1.28419,103.82765,Private room,1,1.0,1.0,60.0,No,0,0,0,,,,,,,,No,,1.0,60.0
47,1615074,within an hour,100.0,97.0,No,Yes,Outram,1.2841,103.84253,Private room,1,1.5,1.0,79.0,Yes,5,1,0,4.4,4.6,4.2,5.0,5.0,4.8,4.2,No,0.11,1.0,79.0
48,1643945,,,,No,Yes,Ang Mo Kio,1.39088,103.85303,Private room,3,1.0,1.0,216.0,No,0,0,0,,,,,,,,No,,2.0,72.0
49,1646909,,,,No,No,Bukit Batok,1.34126,103.75992,Private room,1,1.0,1.0,80.0,No,0,0,0,,,,,,,,No,,1.0,80.0
50,1654840,,,,No,No,Rochor,1.30292,103.858,Private room,3,8.0,1.0,90.0,No,2,0,0,4.0,3.5,3.5,4.5,4.0,4.5,4.0,No,0.04,3.0,30.0
51,1678744,,,,No,Yes,Outram,1.28405,103.84424,Shared room,1,0.0,1.0,63.0,Yes,150,0,0,4.56,4.65,4.43,4.84,4.79,4.86,4.67,No,1.52,1.0,63.0
52,1678754,,,,No,Yes,Outram,1.28405,103.84424,Hotel room,6,0.0,1.0,378.0,Yes,2,0,0,4.5,5.0,4.5,5.0,5.0,5.0,5.0,No,0.03,6.0,63.0
53,1678755,,,,No,Yes,Outram,1.28405,103.84424,Hotel room,1,0.0,1.0,63.0,Yes,93,0,0,4.67,4.72,4.66,4.88,4.85,4.9,4.62,No,0.97,1.0,63.0
54,1710048,within a few hours,90.0,91.0,Yes,Yes,Outram,1.28466,103.84255,Private room,1,1.0,1.0,69.0,Yes,0,0,0,,,,,,,,Yes,,1.0,69.0
55,1833950,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.31572,103.82702,Entire home/apt,2,1.0,1.0,260.0,Yes,28,0,0,4.79,4.89,4.67,4.93,5.0,4.48,4.67,Yes,0.29,1.0,130.0
56,1838622,within a few hours,100.0,,No,No,Bedok,1.31805,103.92361,Private room,1,,1.0,95.0,Yes,0,0,0,,,,,,,,Yes,,1.0,95.0
57,1900478,within an hour,100.0,97.0,No,Yes,Geylang,1.31612,103.88343,Private room,1,3.0,1.0,59.0,Yes,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.02,1.0,59.0
58,1902729,within a day,100.0,,No,No,Bedok,1.3209,103.91569,Private room,1,1.0,1.0,49.0,Yes,3,0,0,4.67,5.0,5.0,5.0,5.0,5.0,4.33,No,0.04,1.0,49.0
59,1902793,within a day,100.0,,No,No,Bedok,1.32204,103.92125,Private room,2,1.0,1.0,60.0,Yes,2,0,0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,No,0.03,1.0,30.0
60,1941719,within a day,67.0,70.0,No,Yes,Downtown Core,1.27525,103.84524,Private room,4,1.0,1.0,119.0,Yes,77,0,0,4.51,4.62,4.63,4.67,4.67,4.85,4.46,Yes,0.81,1.0,29.75
61,2009008,within a day,100.0,,No,No,Bedok,1.32301,103.92211,Private room,1,1.0,1.0,68.0,Yes,5,0,0,4.8,5.0,5.0,4.8,5.0,4.6,4.6,No,0.05,1.0,68.0
62,2024941,within a few hours,100.0,,No,No,Bedok,1.31963,103.924,Private room,1,4.0,1.0,95.0,No,0,0,0,,,,,,,,No,,4.0,95.0
63,2030663,,,,No,Yes,Novena,1.32453,103.85255,Private room,1,2.0,1.0,343.0,Yes,2,0,0,3.5,2.0,3.0,4.0,5.0,3.0,2.5,Yes,0.02,2.0,343.0
64,2033483,within a few hours,100.0,0.0,No,Yes,Choa Chu Kang,1.38786,103.74341,Entire home/apt,4,2.0,3.0,95.0,Yes,0,0,0,,,,,,,,No,,12.0,23.75
65,2095865,a few days or more,0.0,,No,Yes,Choa Chu Kang,1.38799,103.74461,Private room,2,1.0,1.0,54.0,Yes,29,0,0,4.93,4.93,4.93,4.96,4.89,4.64,4.71,No,0.3,1.0,27.0
66,2129215,within a few hours,100.0,,No,Yes,Bedok,1.31936,103.91663,Entire home/apt,5,1.0,1.0,139.0,Yes,369,0,0,4.93,4.88,4.94,4.95,4.95,4.8,4.85,No,3.81,3.0,27.8
67,2142826,,,,No,Yes,Novena,1.32485,103.85143,Private room,2,2.0,1.0,929.0,Yes,21,0,0,4.67,4.65,4.6,4.7,4.7,4.4,4.4,No,0.24,1.0,464.5
68,2156372,within a few hours,83.0,100.0,Yes,No,Hougang,1.36722,103.89765,Private room,1,1.5,1.0,50.0,Yes,14,1,0,4.79,4.71,4.5,4.79,4.86,4.0,4.5,No,0.16,1.0,50.0
69,2320536,,,,No,No,Woodlands,1.44076,103.77626,Private room,1,1.0,1.0,30.0,No,5,0,0,4.75,4.75,4.5,5.0,4.5,4.25,5.0,No,0.05,1.0,30.0
70,2351979,,,,No,No,Singapore River,1.29182,103.83496,Entire home/apt,2,1.0,1.0,150.0,Yes,0,0,0,,,,,,,,No,,1.0,75.0
71,2451003,within an hour,100.0,100.0,No,Yes,River Valley,1.29588,103.8405,Entire home/apt,2,1.0,1.0,104.0,Yes,50,3,0,4.06,4.19,4.06,4.79,4.74,4.74,4.06,Yes,0.53,1.0,52.0
72,2547370,,,,No,No,Rochor,1.30154,103.85941,Private room,4,2.0,1.0,110.0,No,2,0,0,3.0,4.5,3.0,5.0,5.0,4.0,4.0,No,0.05,4.0,27.5
73,2691621,,,,No,No,Queenstown,1.30692,103.8007,Shared room,1,1.5,1.0,75.0,Yes,0,0,0,,,,,,,,No,,1.0,75.0
74,2838555,within a day,82.0,70.0,Yes,Yes,Geylang,1.31403,103.88604,Entire home/apt,2,1.0,1.0,80.0,Yes,61,0,0,4.75,4.88,4.79,4.8,4.74,4.42,4.63,No,0.66,1.0,40.0
75,2922184,within a few hours,87.0,77.0,No,Yes,Queenstown,1.2805,103.78439,Private room,1,1.0,1.0,65.0,Yes,13,1,0,4.54,4.46,4.46,4.92,4.77,4.62,4.54,No,0.18,1.0,65.0
76,2959811,,,,No,Yes,Orchard,1.30085,103.84318,Private room,1,1.0,1.0,80.0,Yes,0,0,0,,,,,,,,No,,1.0,80.0
77,3000736,,,,No,No,Kallang,1.31037,103.86069,Shared room,16,2.0,1.0,35.0,Yes,19,0,0,4.53,4.74,4.74,4.58,4.63,4.26,4.53,No,0.21,16.0,2.1875
78,3034137,within an hour,100.0,0.0,No,Yes,Hougang,1.35956,103.88423,Private room,1,1.0,1.0,88.0,Yes,9,0,0,4.89,5.0,4.89,5.0,5.0,5.0,4.78,No,0.1,1.0,88.0
79,3075620,a few days or more,0.0,0.0,No,Yes,Museum,1.29973,103.84658,Private room,1,1.0,1.0,110.0,Yes,7,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,0.08,1.0,110.0
80,3078453,a few days or more,0.0,,No,Yes,Toa Payoh,1.33781,103.86901,Entire home/apt,6,2.0,2.0,280.0,Yes,6,0,0,4.8,5.0,5.0,5.0,5.0,4.0,4.4,No,0.07,12.0,46.666666666666664
81,3179080,,,,No,No,Kallang,1.31201,103.86096,Shared room,12,2.0,1.0,37.0,Yes,18,0,0,4.78,4.88,4.76,4.76,4.67,4.61,4.78,No,0.2,12.0,3.0833333333333335
82,3179271,,,,No,No,Kallang,1.31029,103.86048,Private room,4,2.0,1.0,150.0,Yes,0,0,0,,,,,,,,No,,4.0,37.5
